session_id,hotspot_id,ssid,location_name,latitude,longitude,session_start,session_end,duration_min,data_mb,device_mac,pii_user_id,pii_email,ip_address,zip_code
CHI-SESS-000001,CHI-HS-0229,Chicago_Public_Wifi,Hyde Park,41.917376,-87.654889,2024-04-24 00:08:46,2024-04-24 00:25:46,17,1631.58,38:a1:c7:e6:2b:b8,USR-71153,user1@email.com,10.17.132.9,60687
CHI-SESS-000002,CHI-HS-0215,Chicago_Public_Wifi,Navy Pier,41.91141,-87.89467,2024-10-05 17:38:40,2024-10-05 19:41:40,123,382.9,73:e0:9c:ca:9f:7c,USR-15225,user2@email.com,10.1.110.240,60669
CHI-SESS-000003,CHI-HS-0081,CityOfChicago_Free,Millennium Park,41.872962,-87.798452,2023-07-15 03:33:17,2023-07-15 05:10:17,97,33.1,06:d2:03:31:ae:92,USR-99820,user3@email.com,10.80.230.242,60689
CHI-SESS-000004,CHI-HS-0282,CHI-FREE-WIFI,Pilsen,41.818,-87.589021,2024-01-24 17:36:42,2024-01-24 19:41:42,125,636.0,90:1b:1d:cd:80:db,USR-33633,user4@email.com,10.245.182.47,60613
CHI-SESS-000005,CHI-HS-0061,CityOfChicago_Free,Boystown,42.007427,-87.89725,2023-08-31 02:28:28,2023-08-31 03:13:28,45,226.64,d2:af:ec:6f:72:8a,USR-13449,user5@email.com,10.63.117.143,60656
CHI-SESS-000006,CHI-HS-0263,CityOfChicago_Free,Boystown,42.017437,-87.823586,2023-12-02 04:16:51,2023-12-02 06:36:51,140,969.04,30:51:a7:86:18:3e,USR-37431,user6@email.com,10.10.191.55,60662
CHI-SESS-000007,CHI-HS-0283,CHI-LINK,Loop,41.671105,-87.553996,2023-09-12 22:00:59,2023-09-12 23:57:59,117,1988.58,fc:f9:a4:30:50:97,USR-96249,user7@email.com,10.44.247.235,60685
CHI-SESS-000008,CHI-HS-0138,CityOfChicago_Free,Loop,41.853316,-87.897377,2024-08-22 15:52:31,2024-08-22 16:02:31,10,1588.36,9a:39:55:57:8f:b9,USR-50477,user8@email.com,10.6.200.66,60625
CHI-SESS-000009,CHI-HS-0091,CHI-LINK,Hyde Park,41.798922,-87.749797,2023-01-25 07:16:26,2023-01-25 08:00:26,44,104.23,33:25:c8:f9:ab:12,USR-64610,user9@email.com,10.65.75.4,60633
CHI-SESS-000010,CHI-HS-0126,CityOfChicago_Free,Grant Park,41.963148,-87.853792,2023-05-02 08:13:00,2023-05-02 10:09:00,116,202.16,80:46:b0:c0:3d:56,USR-32707,user10@email.com,10.165.120.150,60616
CHI-SESS-000011,CHI-HS-0066,CHI-FREE-WIFI,Boystown,41.655356,-87.885148,2024-11-25 00:28:43,2024-11-25 02:03:43,95,846.09,34:0e:e3:c0:77:2c,USR-65594,user11@email.com,10.127.195.15,60622
CHI-SESS-000012,CHI-HS-0151,CHI-LINK,Millennium Park,41.84062,-87.743397,2023-05-01 03:20:54,2023-05-01 04:38:54,78,1290.6,fd:4d:f2:a8:29:13,USR-14067,user12@email.com,10.44.168.199,60636
CHI-SESS-000013,CHI-HS-0193,CityOfChicago_Free,Wicker Park,41.668245,-87.706721,2023-12-07 23:04:52,2023-12-08 00:59:52,115,1761.97,7d:38:c6:92:08:fe,USR-12217,user13@email.com,10.167.188.211,60612
CHI-SESS-000014,CHI-HS-0166,CityOfChicago_Free,Loop,41.715511,-87.9333,2024-04-08 12:36:52,2024-04-08 13:45:52,69,1128.39,9a:9d:86:e1:73:29,USR-66690,user14@email.com,10.240.235.142,60676
CHI-SESS-000015,CHI-HS-0045,CHI-FREE-WIFI,Lincoln Park,41.710116,-87.751852,2023-02-27 18:06:40,2023-02-27 20:57:40,171,1464.06,f5:be:f4:c9:70:b9,USR-22265,user15@email.com,10.107.77.188,60637
CHI-SESS-000016,CHI-HS-0033,CHI-LINK,Loop,41.653091,-87.87944,2024-01-07 23:15:36,2024-01-08 00:33:36,78,559.89,d9:c8:9a:a7:a3:d6,USR-77495,user16@email.com,10.77.233.96,60665
CHI-SESS-000017,CHI-HS-0170,CityOfChicago_Free,Loop,41.91735,-87.590535,2024-04-19 17:04:41,2024-04-19 17:44:41,40,1411.76,39:05:59:a0:fb:45,USR-98363,user17@email.com,10.75.98.84,60611
CHI-SESS-000018,CHI-HS-0287,CHI-LINK,Wicker Park,41.887741,-87.799456,2023-11-04 23:18:03,2023-11-05 01:59:03,161,637.87,b2:ff:16:90:7c:02,USR-50017,user18@email.com,10.69.107.201,60676
CHI-SESS-000019,CHI-HS-0027,CHI-FREE-WIFI,Loop,41.664869,-87.595834,2023-03-26 20:42:45,2023-03-26 21:56:45,74,931.6,e8:44:43:3d:d8:00,USR-42430,user19@email.com,10.16.23.183,60612
CHI-SESS-000020,CHI-HS-0222,CityOfChicago_Free,Loop,41.848965,-87.911955,2023-07-31 13:06:17,2023-07-31 13:24:17,18,989.72,5d:b8:79:6b:fc:8f,USR-52361,user20@email.com,10.218.187.153,60656
CHI-SESS-000021,CHI-HS-0078,CHI-LINK,Loop,41.841141,-87.596285,2023-05-08 12:05:52,2023-05-08 12:15:52,10,1218.19,8d:60:9c:7a:c0:87,USR-85374,user21@email.com,10.114.9.169,60695
