unique_key,created_date,closed_date,agency,complaint_type,descriptor,incident_zip,incident_address,borough,latitude,longitude,pii_caller_name,pii_phone,status,resolution_days
311-80710199,2024-01-11 18:52:48,2024-01-20 18:52:48,DSNY,Graffiti,Descriptor_20,10245,278 Main St,Staten Island,40.90218,-73.730996,Resident_1,917-768-6147,Open,9
311-87603676,2024-11-14 02:38:29,2024-12-04 02:38:29,DOT,Street Condition,Descriptor_11,10390,222 Broadway,Manhattan,40.738448,-73.885783,Resident_2,917-541-3706,Open,20
311-91486633,2024-02-11 17:39:52,2024-03-09 17:39:52,DOB,Blocked Driveway,Descriptor_9,10108,88 5th Ave,Bronx,40.768142,-73.867564,Resident_3,917-789-3305,Open,27
311-52193370,2023-08-24 10:20:32,2023-09-03 10:20:32,NYPD,Illegal Parking,Descriptor_7,10365,142 Main St,Staten Island,40.843038,-73.721819,Resident_4,917-202-5619,In Progress,10
311-11429885,2023-07-07 05:36:05,2023-08-04 05:36:05,DPR,Broken Muni Meter,Descriptor_8,10181,425 Park Ave,Manhattan,40.849097,-74.154742,Resident_5,917-461-3258,In Progress,28
311-96031037,2024-10-20 19:27:35,2024-10-25 19:27:35,DEP,Illegal Parking,Descriptor_5,10337,293 Park Ave,Manhattan,40.527638,-74.108523,Resident_6,917-366-5345,Pending,5
311-89906475,2023-03-20 18:17:51,2023-04-13 18:17:51,DOB,Broken Muni Meter,Descriptor_15,10264,145 Broadway,Staten Island,40.867478,-73.751913,Resident_7,917-317-2893,Closed,24
311-95300579,2024-03-10 17:38:07,2024-03-10 17:38:07,DOT,Blocked Driveway,Descriptor_2,10348,795 Park Ave,Manhattan,40.666262,-73.797095,Resident_8,917-792-3700,Closed,0
311-40042732,2023-10-12 12:08:08,2023-10-31 12:08:08,HPD,Street Condition,Descriptor_19,10469,417 Park Ave,Brooklyn,40.902169,-74.045709,Resident_9,917-953-5334,Open,19
311-33422822,2024-09-25 14:54:08,2024-10-01 14:54:08,NYPD,Rodent,Descriptor_7,10211,11 Lexington Ave,Bronx,40.759371,-73.865181,Resident_10,917-295-4979,Pending,6
311-52456466,2024-02-24 08:37:47,2024-03-07 08:37:47,DSNY,Street Condition,Descriptor_16,10324,968 5th Ave,Queens,40.749887,-73.874641,Resident_11,917-474-2988,Open,12
311-48179496,2023-05-18 10:37:58,2023-06-12 10:37:58,DOB,Noise - Residential,Descriptor_19,10250,82 5th Ave,Staten Island,40.501243,-73.858086,Resident_12,917-297-5616,Closed,25
311-55268841,2023-03-11 09:11:48,2023-03-29 09:11:48,DSNY,Rodent,Descriptor_18,10392,679 Park Ave,Manhattan,40.799165,-74.15567,Resident_13,917-888-6001,Closed,18
311-70328349,2024-12-20 12:12:50,2024-12-28 12:12:50,DPR,Rodent,Descriptor_2,10333,50 Main St,Bronx,40.827867,-73.84953,Resident_14,917-979-1907,Pending,8
311-13742124,2023-04-25 18:42:02,2023-05-22 18:42:02,DOT,Broken Muni Meter,Descriptor_12,10436,326 Main St,Manhattan,40.7294,-74.118331,Resident_15,917-580-4851,In Progress,27
311-35054520,2024-08-05 16:04:17,2024-09-03 16:04:17,HPD,Illegal Parking,Descriptor_7,10208,350 Main St,Bronx,40.820378,-74.061481,Resident_16,917-373-3212,Pending,29
